Q(s, a): [(1, 2), (1, 5), (True, True)]{'North': 47.64, 'South': -199.88, 'Stop': -261.938} 
Q(s, a): [(1, 2), (2, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 1), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 5), (False, True)]{'North': -451.9, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (2, 5), (True, True)]{'North': -324.855, 'South': -260.938, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 1), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 3), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (3, 5), (True, True)]{'North': -115.764, 'South': -106.709, 'Stop': -235.844} 
Q(s, a): [(1, 2), (4, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 1), (False, True)]{'North': -200.223, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 1), (True, True)]{'North': -299.931, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 3), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (4, 5), (True, True)]{'North': -134.618, 'South': -198.552, 'Stop': -91.983} 
Q(s, a): [(1, 2), (5, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 1), (True, True)]{'North': 0.0, 'South': -397.71, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 2), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 2), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 2), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 2), (True, True)]{'North': -85.025, 'South': -397.71, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 3), (True, True)]{'North': -324.045, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 4), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 4), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 4), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 4), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (5, 5), (True, True)]{'North': -332.145, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 1), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 2), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 2), (False, True)]{'North': 27.4, 'South': -501.0, 'Stop': -501.0} 
Q(s, a): [(1, 3), (1, 2), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 2), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 3), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 4), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 4), (False, True)]{'North': -501.0, 'South': -172.556, 'Stop': -501.0} 
Q(s, a): [(1, 3), (1, 4), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 4), (True, True)]{'North': -501.0, 'South': 13.79, 'Stop': -501.0} 
Q(s, a): [(1, 3), (1, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 5), (False, True)]{'North': -501.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (1, 5), (True, True)]{'North': -501.0, 'South': -154.986, 'Stop': 25.796} 
Q(s, a): [(1, 3), (2, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 1), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (2, 5), (True, True)]{'North': -101.293, 'South': -102.955, 'Stop': 25.066} 
Q(s, a): [(1, 3), (3, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 1), (False, True)]{'North': -221.359, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 1), (True, True)]{'North': -332.145, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 3), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (3, 5), (True, True)]{'North': -164.334, 'South': -293.37, 'Stop': -131.898} 
Q(s, a): [(1, 3), (4, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 1), (True, True)]{'North': -299.931, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 3), (True, True)]{'North': -45.291, 'South': -292.641, 'Stop': -70.422} 
Q(s, a): [(1, 3), (4, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (4, 5), (True, True)]{'North': -161.186, 'South': -140.18, 'Stop': -175.296} 
Q(s, a): [(1, 3), (5, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 1), (True, True)]{'North': -93.361, 'South': -270.938, 'Stop': -270.938} 
Q(s, a): [(1, 3), (5, 2), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 2), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 2), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 2), (True, True)]{'North': -100.218, 'South': -358.939, 'Stop': -244.844} 
Q(s, a): [(1, 3), (5, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 3), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 3), (True, True)]{'North': -83.598, 'South': -171.328, 'Stop': -174.036} 
Q(s, a): [(1, 3), (5, 4), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 4), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 4), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 4), (True, True)]{'North': -84.595, 'South': -299.931, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 3), (5, 5), (True, True)]{'North': -126.66, 'South': -137.498, 'Stop': -158.767} 
Q(s, a): [(1, 4), (1, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 1), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 1), (True, True)]{'North': -367.939, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 2), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 2), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 2), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 2), (True, True)]{'North': -451.9, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 3), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 3), (False, True)]{'North': 57.854, 'South': -501.0, 'Stop': -501.0} 
Q(s, a): [(1, 4), (1, 3), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 3), (True, True)]{'North': -451.9, 'South': -501.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 4), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 4), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 4), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 4), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 5), (False, True)]{'North': -501.0, 'South': -193.251, 'Stop': -501.0} 
Q(s, a): [(1, 4), (1, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (1, 5), (True, True)]{'North': -501.0, 'South': -22.907, 'Stop': -501.0} 
Q(s, a): [(1, 4), (2, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 1), (False, True)]{'North': -244.844, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 1), (True, True)]{'North': -367.939, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 5), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 5), (False, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 5), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 4), (2, 5), (True, True)]{'North': -501.0, 'South': -262.896, 'Stop': -64.549} 
Q(s, a): [(1, 4), (3, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
